day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2025-09-05,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.2343,0.0249,-0.2592,-0.4686,50.0,49.7657,False,False,16:00
2025-09-08,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2811,0.0496,-0.3307,-0.565,49.7657,49.4845,False,False,16:00
2025-09-09,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0525,0.0496,0.0029,0.1063,49.4845,49.5371,False,False,16:00
2025-09-10,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.5855,0.0493,-0.6348,-1.1821,49.5371,48.9515,False,False,16:00
2025-09-11,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.9051,0.0494,0.8557,1.849,48.9515,49.8566,False,False,16:00
2025-09-12,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.3565,0.0501,0.3064,0.7149,49.8566,50.213,False,False,16:00
2025-09-15,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1753,0.0501,-0.2254,-0.3491,50.213,50.0377,False,False,16:00
2025-09-16,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2049,0.0499,-0.2548,-0.4097,50.0377,49.8327,False,False,16:00
2025-09-17,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,0.4449,0.0252,0.4197,0.8928,49.8327,50.2776,False,False,16:00
2025-09-18,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.125,0.0502,-0.1752,-0.2488,50.2776,50.1525,False,False,16:00
2025-09-19,fast,pre_vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.3796,0.0499,-0.4295,-0.7567,50.1525,49.773,False,False,16:00
