day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2025-09-05,movers,pre_vault,"SPY,QQQ,NVDA,TSLA,AMZN,GOOGL,AAPL,AVGO,META,PLTR",13,1,-0.2841,0.0747,-0.3588,-0.5682,50.0,49.7159,False,False,16:00
2025-09-08,movers,pre_vault,"SPY,QQQ,TSLA,NVDA,AVGO,MSFT,AAPL,PLTR,AMD,IWM",13,2,-0.8892,0.1477,-1.0369,-1.7886,49.7159,48.8267,False,False,16:00
2025-09-09,movers,pre_vault,"SPY,NVDA,QQQ,TSLA,AVGO,HOOD,AAPL,META,MSFT,AMZN",13,2,-0.0458,0.1466,-0.1924,-0.094,48.8267,48.7808,False,False,16:00
2025-09-10,movers,pre_vault,"SPY,NVDA,QQQ,TSLA,AAPL,PLTR,GOOGL,AVGO,META,IWM",13,3,-0.3487,0.2186,-0.5673,-0.7146,48.7808,48.4322,False,False,16:00
2025-09-11,movers,pre_vault,"SPY,NVDA,QQQ,TSLA,AAPL,AVGO,AMZN,MSFT,PLTR,META",13,2,0.7976,0.1466,0.651,1.6468,48.4322,49.2298,False,False,16:00
2025-09-12,movers,pre_vault,"SPY,TSLA,NVDA,QQQ,AAPL,AVGO,IWM,MSFT,AMZN,BABA",13,2,0.2529,0.1482,0.1047,0.5137,49.2298,49.4827,False,False,16:00
2025-09-15,movers,pre_vault,"TSLA,SPY,QQQ,NVDA,AAPL,MSFT,AVGO,IWM,PLTR,AMZN",13,2,0.1988,0.1489,0.0499,0.4018,49.4827,49.6815,False,False,16:00
2025-09-16,movers,pre_vault,"TSLA,SPY,QQQ,NVDA,GOOGL,AAPL,MSFT,META,AVGO,IWM",13,2,-0.0981,0.1488,-0.2469,-0.1975,49.6815,49.5834,False,False,16:00
2025-09-17,movers,pre_vault,"TSLA,SPY,NVDA,QQQ,AAPL,MSFT,META,AMZN,IWM,GOOGL",13,2,0.1567,0.149,0.0077,0.316,49.5834,49.7401,False,False,16:00
2025-09-18,movers,pre_vault,"SPY,TSLA,QQQ,NVDA,IWM,AVGO,PLTR,AAPL,AMZN,GOOGL",13,2,0.1798,0.1495,0.0303,0.3615,49.7401,49.9199,False,False,16:00
